SeqId	Protein.(short.name)	Protein.(full.name)	Gene	Remark	Included.in.analysis	UniProt	Organism	Type	Ensembl.Gene.ID	Entrez.Gene.ID	HGNC.ID
15386_7	FABPA	Fatty acid-binding protein, adipocyte	FABP4	NA	Yes	P15090	human	Protein	ENSG00000170323	2167	HGNC:3559
15387_44	Neuropilin-2	Neuropilin-2	NRP2	NA	Yes	O60462	human	Protein	ENSG00000118257	8828	HGNC:8005
15388_24	FcRIIIa	Low affinity immunoglobulin gamma Fc region receptor III-A	FCGR3A	NA	Yes	P08637	human	Protein	ENSG00000203747	2214	HGNC:3619
15389_1	FRDA	Frataxin, mitochondrial	FXN	NA	Yes	Q16595	human	Protein	ENSG00000165060	2395	HGNC:3951
15390_3	Galanin	Galanin	GAL	NA	Yes	P22466	human	Protein	ENSG00000069482	51083	HGNC:4114
15391_114	GAS-6	Growth arrest-specific protein 6	GAS6	NA	Yes	Q14393	human	Protein	ENSG00000183087	2621	HGNC:4168
15394_79	UNC5B	Netrin receptor UNC5B	UNC5B	NA	Yes	Q8IZJ1	human	Protein	ENSG00000107731	219699	HGNC:12568
15395_15	GST M1-1	Glutathione S-transferase Mu 1	GSTM1	NA	Yes	P09488	human	Protein	ENSG00000134184	2944	HGNC:4632
15398_2	HERV1	FAD-linked sulfhydryl oxidase ALR	GFER	NA	Yes	P55789	human	Protein	ENSG00000127554	2671	HGNC:4236
15402_2	ID-1	DNA-binding protein inhibitor ID-1	ID1	NA	Yes	P41134	human	Protein	ENSG00000125968	3397	HGNC:5360
15403_53	ID2	DNA-binding protein inhibitor ID-2	ID2	NA	Yes	Q02363	human	Protein	ENSG00000115738	3398	HGNC:5361
15404_3	IFN21	Interferon alpha-21	IFNA21	NA	Yes	P01568	human	Protein	ENSG00000137080	NA	HGNC:5424
15405_23	IFNA4	Interferon alpha-4	IFNA4	NA	Yes	P05014	human	Protein	ENSG00000236637	3441	HGNC:5425
15412_40	KIAP	Baculoviral IAP repeat-containing protein 7	BIRC7	NA	Yes	Q96CA5	human	Protein	ENSG00000101197	79444	HGNC:13702
15413_3	LCAT	Phosphatidylcholine-sterol acyltransferase	LCAT	NA	Yes	P04180	human	Protein	ENSG00000213398	3931	HGNC:6522
15414_316	LDHA	L-lactate dehydrogenase A chain	LDHA	NA	Yes	P00338	human	Protein	ENSG00000134333	3939	HGNC:6535
15416_54	LYG2	Lysozyme g-like protein 2	LYG2	NA	Yes	Q86SG7	human	Protein	ENSG00000185674	254773	HGNC:29615
15417_3	Maspin	Serpin B5	SERPINB5	NA	Yes	P36952	human	Protein	ENSG00000206075	5268	HGNC:8949
15418_25	MK10	Mitogen-activated protein kinase 10	MAPK10	NA	Yes	P53779	human	Protein	ENSG00000109339	5602	HGNC:6872
